mouth_open_ratio,mouth_width_ratio,left_eye_open_ratio,right_eye_open_ratio,eyebrow_raise_left,eyebrow_raise_right,head_yaw,head_pitch,head_roll,face_width,face_height,label
0.0021998565644025803,0.32334116101264954,0.5437579154968262,0.6060598492622375,0.13164417445659637,0.14364711940288544,0.021465666592121124,0.24787652492523193,-2.534024477005005,0.21908503770828247,0.45189109444618225,0
0.0005173569661565125,0.32496654987335205,0.5712971687316895,0.6238576769828796,0.13544341921806335,0.1423409879207611,0.027705486863851547,0.24430236220359802,-2.706028461456299,0.21937264502048492,0.450679212808609,0
0.005556533578783274,0.3249429762363434,0.5832802653312683,0.6303569078445435,0.13489724695682526,0.14035947620868683,0.039576876908540726,0.2452569305896759,-3.2142233848571777,0.21839642524719238,0.4490725100040436,0
0.003851060988381505,0.32180893421173096,0.5878086090087891,0.6231962442398071,0.1367761641740799,0.1416091024875641,0.04605394974350929,0.24386973679065704,-2.8706862926483154,0.218571737408638,0.4493962228298187,0
0.006124678533524275,0.32100415229797363,0.5642701387405396,0.6103788614273071,0.1387256532907486,0.1403205692768097,0.05790156126022339,0.2396475076675415,-3.4732325077056885,0.21947917342185974,0.44817885756492615,0
0.0006931269890628755,0.3247188329696655,0.5521815419197083,0.69333815574646,0.139724463224411,0.14712348580360413,0.07862269878387451,0.2425089180469513,-2.8247721195220947,0.21650631725788116,0.44719377160072327,0
0.001801458653062582,0.3281719982624054,0.5974788069725037,0.6655317544937134,0.1400631070137024,0.14647361636161804,0.11770059913396835,0.23486848175525665,-3.208716869354248,0.21400034427642822,0.44687873125076294,0
0.004048244562000036,0.3273404538631439,0.5376600623130798,0.6690735220909119,0.13432589173316956,0.1395161747932434,0.1398187130689621,0.23005346953868866,-2.529700517654419,0.21132048964500427,0.44841164350509644,0
0.00513252941891551,0.3351958394050598,0.5724454522132874,0.6863093376159668,0.13655470311641693,0.1422985941171646,0.1526494324207306,0.23072418570518494,-3.127532720565796,0.2106369137763977,0.44682562351226807,0
0.0015832643257454038,0.3418777585029602,0.5919084548950195,0.6328699588775635,0.13666781783103943,0.1407804936170578,0.16576574742794037,0.22541946172714233,-2.3722152709960938,0.20931199193000793,0.449961394071579,0
0.0014538157265633345,0.3337538242340088,0.585526168346405,0.6682321429252625,0.13699759542942047,0.13950569927692413,0.19002105295658112,0.22446037828922272,-2.674194097518921,0.20873399078845978,0.44989416003227234,0
0.004831927828490734,0.3326547145843506,0.538594663143158,0.7084317207336426,0.13763049244880676,0.14057520031929016,0.21838484704494476,0.22333179414272308,-2.4036600589752197,0.20681080222129822,0.44693729281425476,0
0.0018614117288962007,0.33178237080574036,0.5871463418006897,0.6715095639228821,0.1366448700428009,0.1354089379310608,0.2274066060781479,0.22778457403182983,-3.369459867477417,0.20586253702640533,0.44753992557525635,0
0.0014185348991304636,0.3325762450695038,0.5552683472633362,0.703359067440033,0.13345520198345184,0.1345234215259552,0.22610102593898773,0.22591307759284973,-2.5952281951904297,0.2054993212223053,0.4479176104068756,0
0.0030555210541933775,0.3279024064540863,0.5829126238822937,0.6971402764320374,0.1392660290002823,0.13373367488384247,0.2402227520942688,0.22763539850711823,-3.1395223140716553,0.20704275369644165,0.44761979579925537,0
0.0058389948680996895,0.32523491978645325,0.573322057723999,0.6505898833274841,0.13850335776805878,0.1356464922428131,0.26500868797302246,0.23108001053333282,-1.1886881589889526,0.2051580846309662,0.44241368770599365,0
